Object ID;Bike Route Name;Street Name;Bikeway Type;Subtype;Status;Street Segment Type;Overall Direction;Bikeway Direction;Vehicle Direction;Speed Limit;Surface Type;AAA Network;AAA Segment;W/N Bound Type;E/S Bound Type;Snow Removal;Segment Length;Year of Construction;Construction Note;Upgrade Year;Notes;Geom
163406;Seaside;Off Street;Protected Bike Lanes;OSB;Active;Off-street;EW;OW;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;No;1487.40551621;1984;1984- seawall is bike OW;;;"{""coordinates"": [[-123.14068071076476, 49.31319293200758], [-123.140457907501, 49.31315585432276], [-123.14010926925178, 49.313113558736006], [-123.13982789656666, 49.31302711448964], [-123.13957594871536, 49.31283460302338], [-123.1394388743175, 49.31266389518444], [-123.13927770474933, 49.31235606925095], [-123.13902311969974, 49.31194996853269], [-123.13867569702367, 49.31160989949056], [-123.13826292220702, 49.31126487121323], [-123.13765365038975, 49.31071035231307], [-123.13731796083886, 49.31029912802482], [-123.13721877381128, 49.310203467441], [-123.13678620665726, 49.30987257697365], [-123.13668296528665, 49.30974589290242], [-123.1366132934875, 49.30961656226862], [-123.13653127553722, 49.30928786359271], [-123.13644773780565, 49.30914820662167], [-123.13637010173423, 49.30900980104284], [-123.1361417469562, 49.308721384855275], [-123.1358834746153, 49.30840197735567], [-123.13579395940145, 49.308232558411184], [-123.13572218685303, 49.308038477276405], [-123.13560977342863, 49.30750278773785], [-123.13561940497517, 49.30737462179273], [-123.13565081574448, 49.30728788977779], [-123.13567634876662, 49.30720889867437], [-123.13568942571042, 49.30712966852673], [-123.13569386676285, 49.30710275705147], [-123.13564808354164, 49.30703679996802], [-123.13555290829521, 49.30695273422585], [-123.1354717976806, 49.30692618932909], [-123.1354141653603, 49.306907570369944], [-123.13527954754107, 49.30687670109214], [-123.13526690275182, 49.306874308793645], [-123.13507548442516, 49.30683808887351], [-123.13484383244662, 49.30676006569962], [-123.13484238804844, 49.306759578948856], [-123.13436445399218, 49.306543035203966], [-123.13434936751395, 49.306535066857876], [-123.1341678287837, 49.306439213257796], [-123.13386264603236, 49.30629720286814], [-123.13365445526877, 49.30619905768065], [-123.13332116832167, 49.30605143030646], [-123.13332113112847, 49.30605141145956], [-123.13332094512604, 49.30605130373244], [-123.13322682984035, 49.30599594283171], [-123.13304948214595, 49.30580791661987], [-123.13304034146424, 49.305799386256254], [-123.13291472501135, 49.30568216579097], [-123.1328426443152, 49.305610924393285], [-123.13262697863395, 49.305397767757015], [-123.1321763330292, 49.30489609785108], [-123.13142166320165, 49.303952031308285], [-123.13148451226827, 49.3037850432244], [-123.1314525012869, 49.30376595866207], [-123.13091846963644, 49.30344757815643], [-123.13091795022594, 49.303447268412334], [-123.13066909224405, 49.30317903598784], [-123.13066905916877, 49.30317901263787], [-123.13029040756668, 49.30299309582595], [-123.12990553168231, 49.30285584130746], [-123.12964444991012, 49.30279070380179]], ""type"": ""LineString""}"
163410;Lakewood;Lakewood;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.14652969;1997;1997-  C.C file # 5553-1. 2010 paint marking;2010;;"{""coordinates"": [[-123.06196480542383, 49.26546966249899], [-123.06195610592941, 49.265920704543355]], ""type"": ""LineString""}"
163413;Lakewood;Lakewood;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;45.89478174;1997;1997-  C.C file # 5553-1. 2010 paint marking;2010;;"{""coordinates"": [[-123.0618629248805, 49.27082037712296], [-123.06185414549815, 49.271233169424754]], ""type"": ""LineString""}"
163421;Seaside;Off Street;Protected Bike Lanes;OSB;Active;Off-street;NS;BD;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;No;80.77782411;1994;pre-1994;2003;;"{""coordinates"": [[-123.13679574724635, 49.29485872468265], [-123.13679568958965, 49.29485876343015], [-123.13671629694123, 49.294910875487325], [-123.1365850037404, 49.29499705054316], [-123.13655251408862, 49.29501244367471], [-123.13637349237152, 49.295097263537095], [-123.13620118493978, 49.29516029792965], [-123.13599607724585, 49.29520908635894], [-123.13594809746576, 49.29521671943518], [-123.13586437852962, 49.29523003088153]], ""type"": ""LineString""}"
162846;Heather;Heather;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;60.38224294;1997;1997- approved by council C.C file # 5553-1;;;"{""coordinates"": [[-123.12062622921668, 49.241708008285215], [-123.12062623051386, 49.241707976800555], [-123.12064473260072, 49.24116502540302], [-123.12064474900785, 49.241164993003025]], ""type"": ""LineString""}"
162847;Heather;Heather;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;48.56991827;1997;1997- approved by council C.C file # 5553-1;;;"{""coordinates"": [[-123.12052134146384, 49.244786667064204], [-123.12052134272395, 49.244786620287684], [-123.12053636712385, 49.24434988048772]], ""type"": ""LineString""}"
162852;Cypress;Cypress;Local Street;;Active;Residential;NS;2W;2W;30;Paved;YES;YES;Local Street;Local Street;Yes;93.23903495;1996;Upgrade to AAA in 2019;2018;;"{""coordinates"": [[-123.14803224138657, 49.26633954246587], [-123.14804799228895, 49.265920119091014], [-123.14806430220249, 49.26550110244976]], ""type"": ""LineString""}"
162856;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;118.88404241;2003;;;;"{""coordinates"": [[-123.0839993977997, 49.24354628729733], [-123.08398957402792, 49.243912239539696], [-123.08396969612856, 49.24461549969345]], ""type"": ""LineString""}"
162858;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;33.0197632;2003;;;;"{""coordinates"": [[-123.08400736964744, 49.24324931275463], [-123.0839993977997, 49.24354628729733]], ""type"": ""LineString""}"
162861;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;75.00136145;1995;year const- Peter Stary;;;"{""coordinates"": [[-123.10472471913906, 49.25466766408154], [-123.10474735019517, 49.25421718632293], [-123.10475684083983, 49.25399334064409]], ""type"": ""LineString""}"
162862;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;57.41276405;1995;year const- Peter Stary;;;"{""coordinates"": [[-123.10478988887267, 49.25326820226877], [-123.10478987505289, 49.253268165400875], [-123.10481314362912, 49.25275201371869], [-123.1048131600695, 49.252751990316206]], ""type"": ""LineString""}"
162868;Mosaic;Woodland Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;14.89965702;1999;;;;"{""coordinates"": [[-123.07365534541272, 49.261082154469946], [-123.07365819855094, 49.26094818520659], [-123.0736581971123, 49.26094814203046]], ""type"": ""LineString""}"
162871;Mosaic;McLean Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;40.09517487;2011;;;;"{""coordinates"": [[-123.07408577655474, 49.28114708224329], [-123.07408863794589, 49.28078645923909], [-123.07408864201815, 49.280786424155316]], ""type"": ""LineString""}"
162873;Mosaic;Woodland Drive;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;50.21096593;1999;1999-CC File No. 5553;;;"{""coordinates"": [[-123.07346570991427, 49.27098860190792], [-123.07347444880695, 49.27053698096292]], ""type"": ""LineString""}"
162877;Haro;Haro;Local Street;;Active;Residential;EW;2W;2W;30;Paved;YES;YES;Local Street;Local Street;No;160.86616445;2012;Upgrade to AAA in 2021;2021;;"{""coordinates"": [[-123.12804283177341, 49.28530120860479], [-123.12804285933287, 49.28530123106219], [-123.12961501023277, 49.2863190550043], [-123.12961506256869, 49.28631908642872]], ""type"": ""LineString""}"
162879;Heather/Cambie Connection;W 64th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;173.59478834;2009;;;;"{""coordinates"": [[-123.11779953178545, 49.21232530099338], [-123.12016539073853, 49.212387546403555], [-123.12018113641491, 49.212387961795855]], ""type"": ""LineString""}"
162887;Off-Broadway;St. Catherines;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.35504216;1994;year const- source unknown;;;"{""coordinates"": [[-123.08518961682616, 49.26474899236595], [-123.08518960988712, 49.26474895369164], [-123.08519859594956, 49.26429607723706]], ""type"": ""LineString""}"
162888;Off-Broadway;W 5th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;140.74419635;1994;;;;"{""coordinates"": [[-123.10475169979514, 49.266481751411575], [-123.10668556266617, 49.2665163855535]], ""type"": ""LineString""}"
162889;Off-Broadway;W 5th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;199.94734575;1994;;;;"{""coordinates"": [[-123.10668556266617, 49.2665163855535], [-123.10668560251811, 49.26651638101916], [-123.10712680617706, 49.26652468014858], [-123.10943278907031, 49.26656803933149]], ""type"": ""LineString""}"
162898;Seaside;Off Street;Protected Bike Lanes;OSB;Active;Off-street;EW;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;No;26.93171419;1990;;;;"{""coordinates"": [[-123.14212288794147, 49.28294038852956], [-123.14185420169157, 49.28310709618505]], ""type"": ""LineString""}"
162900;Seaside;Off Street;Protected Bike Lanes;OSB;Active;Off-street;EW;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;386.36553188;1990;;;;"{""coordinates"": [[-123.1247426606797, 49.27208992086829], [-123.12463001153797, 49.27209993534255], [-123.12431792002235, 49.272090378635006], [-123.12402099234865, 49.27211623867575], [-123.12367441643816, 49.27218747788436], [-123.12353134360409, 49.27218052652978], [-123.12335126553081, 49.272106973618484], [-123.12159723090626, 49.2709657757107], [-123.12154071899315, 49.2709402942115], [-123.12148877213174, 49.27092757836349], [-123.12120041411583, 49.27093210803689], [-123.12115497010517, 49.270936472490334], [-123.12110086747761, 49.270969085516825], [-123.12049732279075, 49.2713709570636]], ""type"": ""LineString""}"
162902;Seaside;Off Street;Protected Bike Lanes;OSB;Active;Off-street;EW;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;404.03706528;1990;;;;"{""coordinates"": [[-123.1197153650806, 49.272833371861545], [-123.11965538603869, 49.27284130028462], [-123.11952111185455, 49.27286410264234], [-123.11943478769773, 49.27293299252956], [-123.11941505103906, 49.27302591257229], [-123.11941503326759, 49.273025953968535], [-123.11938393175713, 49.27309042676167], [-123.1193128737058, 49.2731395077612], [-123.11900191278275, 49.27327878345991], [-123.11848842019435, 49.273381385899285], [-123.1179469441975, 49.273394661790825], [-123.11754125269216, 49.27335681145298], [-123.11704237065535, 49.273216931717606], [-123.11670829495857, 49.27306833984673], [-123.11557244964524, 49.27306804229878], [-123.11528870170234, 49.27311086402277], [-123.115121861868, 49.27316921756484], [-123.11497890944749, 49.27321477662459], [-123.11482522129813, 49.27327446592794], [-123.11481392331345, 49.273274865747084], [-123.11472372362837, 49.27327805778099], [-123.11472316003587, 49.273278078130026]], ""type"": ""LineString""}"
162903;Prince Edward;Prince Edward;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.6881894;2019;;;;"{""coordinates"": [[-123.09647909857252, 49.25699075268951], [-123.09649581447859, 49.25653493312967]], ""type"": ""LineString""}"
162916;Ridgeway;Yew;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;55.79921602;2013;;;;"{""coordinates"": [[-123.15836446280474, 49.23883686489889], [-123.1581511298791, 49.239318928185895], [-123.15815111486803, 49.23931895968981]], ""type"": ""LineString""}"
162920;Heather;Heather;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;65.08952337;1997;1997- approved by council C.C file # 5553-1;;;"{""coordinates"": [[-123.12036974492658, 49.24907719220676], [-123.12036975585775, 49.24907716700871], [-123.12039326652766, 49.248491945242115], [-123.12039326229836, 49.248491901169864]], ""type"": ""LineString""}"
162923;Heather;Heather;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.23535401;1997;1997- approved by council C.C file # 5553-1;;;"{""coordinates"": [[-123.12016506219291, 49.25474870568616], [-123.12018200479949, 49.25429696426473]], ""type"": ""LineString""}"
162928;Dunbar;Dunbar;Painted Lanes;NB;Active;Arterial;NS;2W;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;81.8430691;2010;;;;"{""coordinates"": [[-123.18530750216885, 49.236437991192254], [-123.18532082597571, 49.23570184593267]], ""type"": ""LineString""}"
162933;Midtown/Ridgeway;E 37th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;16.94641486;1998;2 protected small sections w. Pedestrians;;;"{""coordinates"": [[-123.08470167885878, 49.236480973485364], [-123.0844689199068, 49.236478316702296]], ""type"": ""LineString""}"
162938;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;22.90483481;2003;year const- source unknown;;;"{""coordinates"": [[-123.08006604422121, 49.218352726530085], [-123.0800688423203, 49.218146699488095]], ""type"": ""LineString""}"
162939;Chilco;Chilco;Local Street;;Active;Residential;NS;2W;2W;30;Paved;YES;YES;Local Street;Local Street;No;54.98138103;2006;Upgrade to AAA in 2021;2021;;"{""coordinates"": [[-123.1373208854094, 49.29408920823234], [-123.13785167508729, 49.29373702921973], [-123.13785172175953, 49.293736997681016]], ""type"": ""LineString""}"
162941;Chilco;Chilco;Local Street;;Active;Residential;NS;2W;2W;30;Paved;YES;YES;Local Street;Local Street;No;26.94585462;2006;Upgrade to AAA in 2021;2021;;"{""coordinates"": [[-123.1407773628114, 49.291797898839945], [-123.14103743810658, 49.291625237973896]], ""type"": ""LineString""}"
162945;Highbury;Highbury;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;53.42843012;2006;year constr- source unknown;;;"{""coordinates"": [[-123.1874723966432, 49.27229959468675], [-123.18747239791907, 49.272299568598605], [-123.18748502277982, 49.27198785912566], [-123.18749185630551, 49.27181916559022]], ""type"": ""LineString""}"
162947;Dunbar;Dunbar;Shared Lanes;;Active;Arterial;NS;2W;2W;50;Paved;NO;NO;Shared Lanes;Shared Lanes;Yes;56.49741102;2010;;;;"{""coordinates"": [[-123.18534769816915, 49.234320344788784], [-123.18535748790478, 49.23381217802849]], ""type"": ""LineString""}"
162951;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;18.16179112;1995;year const- Peter Stary;;;"{""coordinates"": [[-123.10516891423116, 49.256657155816605], [-123.10491953549682, 49.25665145020304], [-123.10491953953569, 49.25665141062041]], ""type"": ""LineString""}"
162956;Masumi Mitsui Greenway;Prestwick Drive;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;11.67122267;2012;;;;"{""coordinates"": [[-123.07158126034238, 49.21742612002768], [-123.0714335188362, 49.21738543229742]], ""type"": ""LineString""}"
162961;Dumfries;Dumfries;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;151.08528334;2013;;;;"{""coordinates"": [[-123.07466882737009, 49.221765794569556], [-123.07466882595752, 49.221765768484204], [-123.0747244027465, 49.220407229782175]], ""type"": ""LineString""}"
162965;Dumfries;Dumfries;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;45.5094769;2012;;;;"{""coordinates"": [[-123.07402378343606, 49.24017697085225], [-123.07403721198965, 49.239767696735754]], ""type"": ""LineString""}"
162967;Highbury;Highbury;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;17.5970459;2006;year constr- source unknown;;;"{""coordinates"": [[-123.18772617675722, 49.26591560697372], [-123.18773260179238, 49.26575741221566], [-123.18773261539768, 49.26575737531318]], ""type"": ""LineString""}"
162968;Beach;Beach Crescent;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;108.32744051;2011;pre 2011;;;"{""coordinates"": [[-123.1269081204644, 49.27157215882723], [-123.12690860240994, 49.27157247312973], [-123.12795428463829, 49.27224919320464], [-123.12796634723034, 49.272257002066276], [-123.12796637751792, 49.272257019123586], [-123.12796691455783, 49.272257369341396]], ""type"": ""LineString""}"
162972;Davie;Davie;Painted Lanes;NB;Active;Residential;EW;2W;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;160.19884475;2009;;;;"{""coordinates"": [[-123.12137801910598, 49.27402761720331], [-123.11981211890435, 49.27301434299268]], ""type"": ""LineString""}"
162974;Stanley Park Trails;Off Street;Protected Bike Lanes;OSS;Active;Off-street;NS;2W;Off Street;;Unpaved;NO;NO;Protected Bike Lanes;Protected Bike Lanes;No;1472.03020324;1999;pre-1999;;;"{""coordinates"": [[-123.1567494703755, 49.300613307575], [-123.15627088674901, 49.30118514867526], [-123.15421909242805, 49.301444941390415], [-123.15378290019599, 49.301616881152526], [-123.15304471059324, 49.302988724354776], [-123.1532314495298, 49.30687258809806], [-123.15236204309655, 49.308216039994484], [-123.15148917430771, 49.308445663979285], [-123.15131507215818, 49.30864580900737], [-123.15079223289462, 49.309074886707236], [-123.15009284442522, 49.30890443977585], [-123.14965518789863, 49.308619410827326], [-123.14899923001828, 49.308363222328566], [-123.14816865134911, 49.3081358127739], [-123.147076521593, 49.30808008869031]], ""type"": ""LineString""}"
162975;Stanley Park Trails;Off Street;Protected Bike Lanes;OSS;Active;Off-street;NS;2W;Off Street;;Unpaved;NO;NO;Protected Bike Lanes;Protected Bike Lanes;No;1111.68444638;1999;pre-1999;;;"{""coordinates"": [[-123.15063882726507, 49.29647801121983], [-123.14989823118742, 49.29706671866282], [-123.14967143147669, 49.29715840341235], [-123.14904329077575, 49.297387692203415], [-123.14840309344842, 49.297426586307964], [-123.14808274618925, 49.29744604719063], [-123.14762886135836, 49.297538018691455], [-123.14715737116923, 49.297584315440936], [-123.14637163206874, 49.29768812795685], [-123.14565579403447, 49.29780327089039], [-123.14548131895545, 49.2978720337464], [-123.14527210938722, 49.2980093839823], [-123.14513340583927, 49.29836369836972], [-123.14513407673363, 49.29859217442391], [-123.14445519541007, 49.299404119738576], [-123.1443509197541, 49.29958703152173], [-123.1442644785076, 49.29989558410472], [-123.14437052374065, 49.30031813471003], [-123.14463459303231, 49.301014659680256], [-123.14461779278703, 49.301243158395714], [-123.14481135656747, 49.301722718137185], [-123.1451272758724, 49.30222497159986], [-123.14567017078457, 49.302681242930134], [-123.1459333602348, 49.30306932220779], [-123.14598742250169, 49.30362902275207]], ""type"": ""LineString""}"
162979;Hornby;Hornby;Protected Bike Lanes;SL;Active;Arterial;NS;BD;OW;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;104.35642608;2010;;;;"{""coordinates"": [[-123.13134734944722, 49.27631138835264], [-123.13235583225058, 49.27564372114315]], ""type"": ""LineString""}"
162985;Dumfries;Dumfries;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;105.1570358;2012;;;;"{""coordinates"": [[-123.07282181609322, 49.25648041827238], [-123.07286123305565, 49.255534860321745]], ""type"": ""LineString""}"
162991;Prince Edward;Prince Edward;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;14.85639729;2012;;;;"{""coordinates"": [[-123.0976455390232, 49.22096868811112], [-123.09765092548288, 49.22083509746517]], ""type"": ""LineString""}"
162993;Prince Edward;Prince Edward;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;27.46356698;2012;;;;"{""coordinates"": [[-123.09741986548997, 49.22818333710965], [-123.09743013562077, 49.22793638693839]], ""type"": ""LineString""}"
162995;Prince Edward;Prince Edward;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;33.79013492;2012;;;;"{""coordinates"": [[-123.09710464636204, 49.23579674024617], [-123.09711742767591, 49.23549290506005]], ""type"": ""LineString""}"
163001;Hornby;Hornby;Protected Bike Lanes;SL;Active;Arterial;NS;BD;OW;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;96.8971291;2005;2010-OW painted to 2W protected. width-800blk;2010;;"{""coordinates"": [[-123.12563203083108, 49.28009297664457], [-123.12563207614164, 49.28009295230826], [-123.12656888453141, 49.27947328275601]], ""type"": ""LineString""}"
163002;Hornby;Hornby;Protected Bike Lanes;SL;Active;Arterial;NS;BD;OW;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;164.57904407;2005;2010-OW painted to 2W protected. width-800blk;2010;;"{""coordinates"": [[-123.12338294864017, 49.28158057620788], [-123.12338297746713, 49.281580557287235], [-123.12497424357247, 49.280528040239396]], ""type"": ""LineString""}"
163004;Hornby;Hornby;Protected Bike Lanes;SL;Active;Arterial;NS;BD;OW;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;49.63288048;2005;2010-OW painted to 2W protected. width-800blk;2010;;"{""coordinates"": [[-123.11680908979085, 49.2859282641295], [-123.11728912090506, 49.285610904972344]], ""type"": ""LineString""}"
